Age,Nobs,Event,Genotype,Exposure
19.50,0.00,1,Dsk81_Chri,OK_Tra
119.89,0.00,1,Dsk81_Chri,OK_Tra
248.46,0.00,1,Dsk81_Chri,OK_Tra
308.46,0.00,1,Dsk81_Chri,OK_Tra
360.14,0.00,1,Dsk81_Chri,OK_Tra
422.81,0.00,1,Dsk81_Chri,OK_Tra
482.58,0.00,1,Dsk81_Chri,OK_Tra
530.45,0.00,1,Dsk81_Chri,OK_Tra
591.27,0.00,1,Dsk81_Chri,OK_Tra
650.84,0.00,1,Dsk81_Chri,OK_Tra
698.28,0.00,1,Dsk81_Chri,OK_Tra
759.61,0.00,1,Dsk81_Chri,OK_Tra
818.19,0.00,1,Dsk81_Chri,OK_Tra
864.77,0.00,1,Dsk81_Chri,OK_Tra
926.54,0.00,1,Dsk81_Chri,OK_Tra
986.54,3.00,1,Dsk81_Chri,OK_Tra
1033.67,0.00,1,Dsk81_Chri,OK_Tra
1093.95,2.00,1,Dsk81_Chri,OK_Tra
1152.81,1.00,1,Dsk81_Chri,OK_Tra
1199.27,4.00,1,Dsk81_Chri,OK_Tra
1260.38,2.00,1,Dsk81_Chri,OK_Tra
1321.86,4.00,1,Dsk81_Chri,OK_Tra
1370.35,2.00,1,Dsk81_Chri,OK_Tra
1430.59,3.00,1,Dsk81_Chri,OK_Tra
1491.36,1.00,1,Dsk81_Chri,OK_Tra
1538.84,7.00,1,Dsk81_Chri,OK_Tra
1598.38,8.00,1,Dsk81_Chri,OK_Tra
1658.61,6.00,1,Dsk81_Chri,OK_Tra
1706.63,5.00,1,Dsk81_Chri,OK_Tra
1767.34,5.00,1,Dsk81_Chri,OK_Tra
1824.96,2.00,1,Dsk81_Chri,OK_Tra
1872.28,1.00,1,Dsk81_Chri,OK_Tra
1931.41,4.00,1,Dsk81_Chri,OK_Tra
1990.17,0.00,1,Dsk81_Chri,OK_Tra
19.50,0.00,1,Dsk81_Chri,W_Tra
119.89,0.00,1,Dsk81_Chri,W_Tra
248.46,0.00,1,Dsk81_Chri,W_Tra
308.46,0.00,1,Dsk81_Chri,W_Tra
360.14,1.00,1,Dsk81_Chri,W_Tra
422.81,0.00,1,Dsk81_Chri,W_Tra
482.58,0.00,1,Dsk81_Chri,W_Tra
530.45,0.00,1,Dsk81_Chri,W_Tra
591.27,0.00,1,Dsk81_Chri,W_Tra
650.84,0.00,1,Dsk81_Chri,W_Tra
698.28,0.00,1,Dsk81_Chri,W_Tra
759.61,0.00,1,Dsk81_Chri,W_Tra
818.19,0.00,1,Dsk81_Chri,W_Tra
